,,,,,,,,
PROVINCE,PHYSICAL TOWN,PHYSICAL SUBURB,PHYSICAL ADDRESS,PRACTICE NAME,PRACTICE TYPE,PRACTICE TYPE DESCRIPTION,PRACTICE  NUMBER,CONTACT NUMBER
NORTH WEST,BRITS,BRITS,62A KERK STREET 0250,BRITS SUBAKUUT HOSPITAAL,49,SUB ACUTE FACILITIES,1027131,0122527043
NORTH WEST,BRITS,BRITS,8 KERK STREET 0250,MEDICLINIC BRITS,58,HOSPITALS - PRIVATE,5808723,0214101211
NORTH WEST,HARTBEESPOORT,MEERHOF,7 CLOISTER STREET 0216,FREEMAN HOUSE RECOVERY,47,DRUG AND ALCOHOL REHABILITATION,0995797,0782522868
NORTH WEST,KLERKSDORP,KLERKSDORP,94 BISHOP DESMOND TUTU STREET 2571,PARKMED NEURO CLINIC,55,MENTAL HEALTH INSTITUTIONS,5500176,0184623072
NORTH WEST,KLERKSDORP,KLERKSDORP,CNR ARCHBISHOP DESMOND TUTU & PRESIDENT KRUGER STREET 2571,SANPARK ALCOHOL & DURG CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0047449,0184624568
NORTH WEST,KLERKSDORP,WILKOPPIES,CNR DR YUSUF DADOO AVENUE & HARTLEY STREET 2571,ANNCRON CLINIC,57,HOSPITALS - PRIVATE,5700159,0184680000
NORTH WEST,KLERKSDORP,WILKOPPIES,12 VAN RYNVELD STREET 2571,DALESIDE DAY HOSPITAL,77,CLINICS - DAY SURGERY,0993867,0184641009
NORTH WEST,KLERKSDORP,WILKOPPIES,12 VAN RYNVELD STREET 2571,SUNNINGDALE HOSPITAL,57,HOSPITALS - PRIVATE,5706696,0184627536
NORTH WEST,KLERKSDORP,WILKOPPIES,CNT AMETIS AND MARMER STREET 2571,WILMED PARK HOSPITAL,58,HOSPITALS - PRIVATE,5808812,0184687700
NORTH WEST,MAFIKENG,MAFIKENG,VICTORIA PRIVATE HOSPITAL VICTORIA ROAD 2745,VICTORIA PRIVATE HOSPITAL,58,HOSPITALS - PRIVATE,0223891,0183977300
NORTH WEST,MMABATHO,MMABATHO,UNIT 4 2465 HECTOR PIETERSON AVENUE 2790,KGATELOPELE WELLNESS CENTRE,55,MENTAL HEALTH INSTITUTIONS,0710024,0183842631
NORTH WEST,POTCHEFSTROOM,KANONIERSPARK,66 MEYER STREET 2531,MEDICLINIC POTCHEFSTROOM,58,HOSPITALS - PRIVATE,5808057,0182937000
NORTH WEST,POTCHEFSTROOM,POTCHEFSTROOM,1 ALBERT LUTHULI DRIVE 2531,M-CARE  POTCHEFSTROOM,49,SUB ACUTE FACILITIES,0090077,0182933785
NORTH WEST,POTCHEFSTROOM,POTCHEFSTROOM,CNR HENNIE BINGLE & AMETIS STREET 2531,M-CARE AMETHYST,55,MENTAL HEALTH INSTITUTIONS,0993417,0182933785
NORTH WEST,POTCHEFSTROOM,POTCHEFSTROOM,1 CHIEF ALBERT LUTHULI DRIVE 2531,MOOIMED PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0259470,0182930802
NORTH WEST,RUSTENBURG,HARTBEESPOORT,28 BEETHOVEN STREET 0216,BEETHHOVEN RECOVERY CENTRE,55,MENTAL HEALTH INSTITUTIONS,0628093,0122539922
NORTH WEST,RUSTENBURG,HARTBEESPOORT,28 BEETHOVEN STREET 0216,BEETHOVEN RECOVERY CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0494674,0872307856
NORTH WEST,RUSTENBURG,RUSTENBURG,PLOT 152 RIETVLY 0299,HOPE HILL REHABILITATION CENTRE,47,DRUG AND ALCOHOL REHABILITATION,0987468,0760232574
NORTH WEST,RUSTENBURG,RUSTENBURG,173 BEYERS NAUDE DRIVE 0299,PEGLERAE HOSPITAL,58,HOSPITALS - PRIVATE,5808359,0145949500
NORTH WEST,RUSTENBURG,RUSTENBURG,156 KRUGER STREET 0299,RUSTENBURG MEDICAL REHABILITATION CLINIC,55,MENTAL HEALTH INSTITUTIONS,1167448,0145945345
NORTH WEST,RUSTENBURG,RUSTENBURG,51 UNIE STREET 0299,WHITE HOUSE SOBER CLINIC,47,DRUG AND ALCOHOL REHABILITATION,0917702,0725964599
NORTH WEST,VRYBURG,VRYBURG,67 MOLOPO STREET 8601,VRYBURG PRIVATE HOSPITAL HOLDCO (PTY) LTD,57,HOSPITALS - PRIVATE,0909181,0539283000
NORTHERN CAPE,HARTSWATER,HARTSWATER,11 VERWOERD STREET 8570,JANE KEYSER PRIVATE HOSPTAL,57,HOSPITALS - PRIVATE,0455997,0534742016
NORTHERN CAPE,HARTSWATER,HARTSWATER,28 HERTZOG STREET 8570,MEDI-HARTS DAY CLINIC,77,CLINICS - DAY SURGERY,0602604,0534740157
NORTHERN CAPE,KATHU,KATHU,MEDICAL CENTRE FRIKKIE MEYER DRIVE 8446,LENMED HEALTH KATHU PRIVATE HOSPITAL,57,HOSPITALS - PRIVATE,0580619,0537233231
